CUSTOMER;PRODUCT;TRANSACTION TYPE;YEAR;GROUP TYPE;PROSPECT TYPE;STRATEGIC INITIATIVE;SALES TYPE;PROJECT MANAGER;HANGAR;LINE;UNIT;AMS;AREA;COUNTRY;REGION;AC/ENG/APU/COMP;AC-REG;MAINTENANCE EVENT;MARKET SHARE;SALES PLAN;Sales Updated;REMARKS;SO NUMBER;START DATE;TAT;END DATE;SALES LEVEL;STATUS;CANCEL REASON;DETAILED CANCEL REASON
Pupuk Kalimantan Timur;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;NA;I;;;GE Frame 5 dan 6;;LTSA Part Repair GE Frame 5 dan 6;;  ;310000;GMF sudah terpilih sebagai pemenang tender, proses pembuatan kontrak dengan PKT. Nilai kontrak di sesuaikan sesuai anggaran menjadi Est 310 KUSD. Kontrak akan di propose renewal apabila sudah habis. Potensi pekerjaan 690 KUSD sesuai jadwal.;;2023-01-31;1095;2026-01-30;1;Closed - Sales;;
Guangzo Hangxin Avionics;Material Trading;TMB Project;2023;NGA;Organic;;Additional;;;;;AM;I;;;Component;Various;Material Trading Offset;;  ;86500;On progress completed support document for offset;;2023-04-28;60;2023-06-27;3;Open;;
Iraqi Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;RM;III;;;B747-400;YI-AQQ;C-Check + LDG change;;500000;500000;Proposal sudah dikirim ke IAW tgl 16Jan. Menunggu respons;;2023-04-29;30;2023-05-29;3;Cancelled;Capacity Capability;No slot available in H1
Griffon Aviation Services;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;RM;III;;;CFM56-7B;ESN 660863;Engine shop visit;;;400000;Proposal was sent on 25/10;;2023-03-14;90;2023-06-12;2;Open;;
Indonesia AirAsia;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;IH;II;;;APU GTCP191-9A;P-3281;APU Overhaul;;;400000;w/f proposal approval and No Lien Statement;;2023-03-15;50;2023-05-04;2;Open;;
Aeroeagle;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;JT;III;;;CFM56-3B1;722370;Performance restoration;;;200535;"- [24 Sep 2022] RFQ received. COGS under progress.
- [5 Oct 2022] COGS and pricing received. Proposal under progress.
- [12 Oct 2022] Proposal submitted.
- [20 Oct 2022] Proposal discussion meeting with Aeroeagle & Trigana.
- [7 Nov 2022] Still under Customer consideration, mostly on budget planning.
- [29 Dec 2022] Induction plan to be carried over to 2023.
- [19 Jan 2023] Maintenance plan cancelled.";;2023-02-20;90;2023-05-21;2;Cancelled;Customer Financial;Owner plans to sell the engine as is due to possible BER.
Griffon Aviation Services;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;RM;III;;;CFM56-7B;ESN 658905;First shop visit;;;500000;Proposal was sent to griffon;;2023-03-07;90;2023-06-05;3;Open;;
US-Bangla;Airframe;TMB Project;2023;NGA;Organic;;Additional;;;;;SS;II;;;B737NG;S2-AJC;B737NG C-Check;;;300000;Reschedule to May 2023;;2023-05-22;21;2023-06-12;4;Open;;
PLN Paya Pasir;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;AM;I;;;ENG;;GE MS6001 Repair Part Stage (Repair Combustion Liner, Transition Piece Repair Cross Fire Tube, Flow Sleeve);;;150000;"- Sudah diinsfeksi oleh team TZ di Indralaya tgl. 18 Okt 22
- Sudah submit penawaran harga di pertengahan November berdasarkan COGS dari team produksi.
- Masih dalam proses pengajuan Anggaran 2023 dan menunggu feedback dari customer jika anggaran sudah disetujui";;2023-04-28;120;2023-08-26;3;Open;;
PLN Belawan;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;AM;I;;;;;Refurbish Rotor dan Stator Blade Turbin Siemens V94.2;;;400000;"- Proposal sudah di submit
- Informasi dari customer pekerjaan estimasi paling cepat dimulai pertengehan tahun 2023
- Menunggu Tender";;2023-06-28;180;2023-12-25;4;Open;;
AFO Aircraft (NZ) Limited;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;JT;III;;;CFM56-3;726202;Engine teardown;;;30000;"- [1 Nov 2022] Request GTA to TSB
- [10 Nov 2022] GTA initial draft processing by TSB
- [11 Nov 2022] GTA draft sent to Customer for review.
- [30 Nov 2022] Customer informs that AFO Engineering will send the workscope.
- [12 Dec 2022] Waiting for workscope revision from AFO Engineering.
- [29 Dec 2022] Still waiting for workscope revision and GTA draft feedback. Induction plan to be carried over to 2023.";;2023-02-06;15;2023-02-21;2;Cancelled;Internal Customer;No response from Customer. Several communication attempted.
AFO Aircraft (NZ) Limited;Engine & APU;TMB Project;2023;NGA;Organic;;Additional;;;;;JT;III;;;CFM56-3;857542;Engine teardown;;;30000;"- [1 Nov 2022] Request GTA to TSB
- [10 Nov 2022] GTA initial draft processing by TSB
- [11 Nov 2022] GTA draft sent to Customer for review.
- [30 Nov 2022] Customer informs that AFO Engineering will send the workscope.
- [12 Dec 2022] Waiting for workscope revision from AFO Engineering.
- [29 Dec 2022] Still waiting for workscope revision and GTA draft feedback. Induction plan to be carried over to 2023.";;2023-02-13;15;2023-02-28;2;Cancelled;Internal Customer;No response from Customer. Several communication attempted.
Indokomas;IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;DY;I;;;Siemens;NA;OVH Generator;;;253333;Overhaul Generator Antam;;2023-01-17;90;2023-04-17;4;Cancelled;Internal Customer;Tender dihold untuk sementara dan akan diupdate kembali
Pertamina Power Indonesia (PPI);IGTE;TMB Project;2023;NGA;Organic;;Additional;;;;;DY;I;;;GE Frame 5-6;NA;LTSA;;;300000;LTSA integrasi Turbin - Generator PHR;;2023-08-01;1825;2028-07-30;4;Open;;
Cebu Pacific;Airframe;TMB Project;2023;NGA;Organic;;Additional;;;;;IH;II;;;A320;RP-C3264;C03+LC+OOP+WB Check;;;297800;Resecheduled to Feb 2023 d/t readiness the aircraft for ferry flight;;2023-03-24;28;2023-04-21;1;Closed - Sales;;
Aeroeagle;Engine & APU;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;NA;NA;Biding Engine;;1000000;1000000;;;2023-06-06;120;2023-10-04;4;Cancelled;Reschedule;Engine Document not clear yet.
Air Caledonie;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;AC;F-OZKN;C-check;;125000;125000;;;2023-04-28;24;2023-05-22;3;Cancelled;Internal Customer;sedang menungu feedback atas tidak diterimanya proposal GMF atas pekerjaan yang dimaksud
Air Caledonie;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;125000;125000;;;2023-06-01;90;2023-08-29;4;Open;;
Air Caledonie;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;125000;125000;;;2023-09-01;90;2023-11-29;4;Open;;
Air Caledonie;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;125000;125000;;;2023-12-01;90;2024-02-28;4;Open;;
Air Calin;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;150000;150000;;;2023-05-01;90;2023-07-29;4;Open;;
Air Calin;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;150000;150000;;;2023-10-01;90;2023-12-29;4;Open;;
Air Vanuatu;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;150000;150000;;;2023-06-01;90;2023-08-29;4;Open;;
Air Vanuatu;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;100000;100000;;;2023-08-01;90;2023-10-29;4;Open;;
Airwork;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;AC;ZK-FXL;C-check;;200000;200000;;;2023-04-01;60;2023-05-31;3;Open;;
Airwork;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;200000;200000;;;2023-04-01;90;2023-06-29;3;Open;;
Airwork;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;200000;200000;;;2023-06-01;90;2023-08-29;3;Open;;
Airwork;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;200000;200000;;;2023-07-01;90;2023-09-28;3;Open;;
All Customer - Logistic;Material Trading;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;Material Trading & Logistic;Various;Material Trading & Logistic;;479762;40000;Monthly transaction retail Material Trading & Logistic;;2023-01-01;30;2023-01-31;4;Open;;
Alliance Airlines;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;125000;125000;;;2023-10-01;90;2023-12-29;4;Open;;
Alliance Airlines;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;125000;125000;;;2023-12-01;90;2024-02-28;4;Open;;
Bombardier;Component;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;150000;150000;;;2023-12-01;15;2023-12-15;4;Open;;
Cikarang Listrindo;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;GE Frame 5;NA;OVH Generator;;343394;343394;;;2023-06-01;90;2023-08-30;4;Cancelled;Internal Customer;Masih Menunggu detail Pekerjaan dan  Schedule
Fiji Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;AC;DQ-FJT;Painting;;150000;150000;Livery Paint to papua nugini colour;;2023-06-10;20;2023-06-30;3;Open;;
Fiji Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;AC;DQ-FJU;Painting;;150000;150000;;;2023-06-26;20;2023-07-16;3;Open;;
Fiji Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;100000;100000;;;2023-05-01;90;2023-07-29;4;Open;;
Fiji Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;100000;100000;;;2023-08-01;90;2023-10-29;4;Open;;
Fiji Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;100000;100000;;;2023-11-01;90;2024-01-29;4;Open;;
Fiji Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;200000;200000;;;2023-07-01;90;2023-09-28;4;Open;;
Fiji Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;200000;200000;;;2023-10-01;90;2023-12-29;4;Open;;
Fire Tech Indonesia;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;LM6000;NA;OVL LM6000;;100000;100000;;;2023-06-01;90;2023-08-30;4;Cancelled;Missed Plan;Waiting Tender Update
FSD;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Compressor;;100000;100000;;;2023-06-01;90;2023-08-29;3;Open;;
Guangzo Hangxin Avionics;Material Trading;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;Component;Various;Material Trading Offset;;86500;86500;;;2023-02-01;90;2023-05-02;3;Cancelled;Reschedule;Double input on system
Hensan Andalas Putera;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;LM 6000;NA;OVH Generator;;150000;150000;;;2023-08-01;90;2023-10-30;3;Cancelled;Missed Plan;Blm ada update Pekerjaan
Indo Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;110000;110000;;;2023-06-01;15;2023-06-16;4;Open;;
Indo Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;110000;110000;;;2023-04-01;15;2023-04-16;4;Cancelled;Internal Customer;-
Indo Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;110000;110000;;;2023-04-01;15;2023-04-16;4;Cancelled;Internal Customer;-
Indo Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;100000;100000;;;2023-08-01;15;2023-08-16;4;Open;;
Indo Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;100000;100000;;;2023-05-01;15;2023-05-16;4;Cancelled;Internal Customer;-
Indo Airways;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;100000;100000;;;2023-05-01;15;2023-05-15;4;Open;;
Indo Pelita Air Service/ PBAS;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;Various motor and generator;Various;Repair Parts;;550000;10000;;;2023-10-25;180;2024-04-22;4;Open;;
Indocement;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;Steam Turbin Generator;NA;OVH STG;;100000;100000;;;2023-08-01;90;2023-10-30;4;Cancelled;Missed Plan;Belum ada Update terkait Plan OVH, masih menunggu Budget
Indonesia Power - Bali;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;1300;1300;Repair Jet Lances 13E2;;40000;40000;Menunggu proses pengadaan dari Customer di bulan Maret 2023, proposal budgeting sudah dikirimkan;;2023-03-30;150;2023-08-27;2;Open;;
Indonesia Power - Tambak Lorok Semarang;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;GE MS 9001;2.3 & 2.1;OTG APO CI GTG 2.3 DAN 1.2 - JASA PEKERJAAN REPAIR MAIN PART (TPCL)  TAHUN 2023;;200000;103500;"Sudah SKP, Proses Kontrak, Project :OTG APO CI GTG 2.3 DAN 1.2 - JASA PEKERJAAN REPAIR MAIN PART (TPCL) 
TAHUN 2023";;2023-01-01;120;2023-05-01;1;Closed - Sales;;
Indonesia Power - Bali;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;1300;;Repair EV Burner;;60000;60000;Menunggu proses pengadaan dari Customer di bulan Maret 2023, proposal budgeting sudah dikirimkan;;2023-03-31;90;2023-06-29;2;Open;;
Indonesia Power - Tanjung Priok;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Rejuvination;;550000;550000;;;2023-12-01;150;2024-04-28;3;Open;;
Indonesia Power - Tanjung Priok;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair HGC Inner Liner;;500000;500000;;;2023-12-01;150;2024-04-28;3;Open;;
Indonesia Power - Tanjung Priok;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Parts;;50000;50000;;;2023-06-01;45;2023-07-16;3;Open;;
Jindi South Jambi co Ltd;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Overhaul GTG;;450000;450000;;;2023-12-01;150;2024-04-28;3;Open;;
Kaltim Daya Mandiri (KDM);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;GE Frame 6;;GE Frame 6 - Part Repair;;100000;100000;Canceled due to pricing issue;;2023-06-01;90;2023-08-30;4;Cancelled;Pricing;Pricing above Albany
KARTANEGARA ENERGI PERKASA (KEP);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;LM6000;LM6000;Repair HGP component;;1550000;300000;;;2023-11-20;210;2024-06-17;3;Open;;
Kereta Api Indonesia (Persero);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Generator;;150000;150000;;;2023-06-01;90;2023-08-29;3;Open;;
Kereta Api Indonesia (Persero);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Generator;;150000;150000;;;2023-05-01;90;2023-07-29;3;Open;;
Kereta Api Indonesia (Persero);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Generator;;150000;150000;;;2023-05-01;90;2023-07-29;3;Open;;
Kereta Api Indonesia (Persero);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Generator;;150000;150000;;;2023-06-01;90;2023-08-30;3;Open;;
Kereta Api Indonesia (Persero);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Generator;;150000;150000;;;2023-06-01;90;2023-08-30;3;Open;;
Kereta Api Indonesia (Persero);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Generator;;150000;150000;;;2023-01-31;90;2023-05-01;1;Closed - Sales;;
Kereta Commuter Indonesia (KCI);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Repair Generator;;100000;100000;;;2023-06-01;90;2023-08-30;3;Open;;
Kontraktor Kontrak Kerja Sama (K3S);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;;;;;100000;100000;;;2023-11-01;120;2024-02-28;4;Open;;
Krakatau Daya Listrik;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;GE Frame 5;SN;Turbin Repair;;100000;100000;;;2023-10-01;90;2023-12-30;4;Cancelled;Internal Customer;Dipindah ke Bu Maryati
MITRA ENERGY BATAM (MEDCO PR);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;RB211;RB211;Assessment GG;;50000;50000;;;2023-05-01;14;2023-05-15;4;Open;;
Nauru Airlines;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;150000;150000;;;2023-04-01;90;2023-06-29;4;Open;;
Nauru Airlines;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;AC;VH-ONU;C-check;;150000;150000;;;2023-03-30;63;2023-06-01;4;Cancelled;Capacity Capability;Customer tidak puas dengan hasil pekerjaan sebelumnya
Nauru Airlines;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;150000;150000;;;2023-07-01;90;2023-09-28;4;Open;;
Nauru Airlines;Engine & APU;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;Repair;;150000;150000;;;2023-07-01;30;2023-07-30;4;Open;;
Nauru Airlines;Engine & APU;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;Repair;;150000;150000;;;2023-07-01;30;2023-07-30;4;Open;;
Pacific Air;Material Trading;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;Component;Various;Material Trading Offset;;50000;50000;Customer propose to implement credit ceiling yearly 50K, under review based on monthly GMF requirement purchase material to Pac Air;;2023-04-01;90;2023-06-30;4;Open;;
Pema Global Energy;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;Frame 03;GE Frame 5;Assessment Control Frame 3;;250000;10000;;;2023-07-01;30;2023-07-31;4;Open;;
Pembangkit Jawa Bali (PJB) Gresik;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;M701D;NA;LTSA;;250000;250000;Waiting Re-Tender;;2023-08-01;90;2023-10-30;4;Open;;
Pembangkit Jawa Bali (PJB) UMRO;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;;;Repair Parts;;105000;105000;;;2023-11-01;60;2023-12-30;4;Open;;
Pembangkit Jawa Bali (PJB) UMRO;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;Turbin;NA;Repair Turbin;;105000;105000;;;2023-10-01;90;2023-12-30;4;Cancelled;Internal Customer;Belum ada Plan untuk Unit Pembangkit - Kemungkinan mengerjakan Sendiri
Pembangkit Jawa Bali (PJB) UP Cirata;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;Hydro generator;Hydro Generator;Rotor Pole Replacement;;500000;150000;;;2023-10-23;180;2024-04-20;3;Open;;
Pembangkit Jawa Bali (PJB) UP Muara Tawar;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;;Siemens / Alstom;Repair Parts;;300000;300000;;;2023-09-01;90;2023-11-29;4;Open;;
Pembangkit Jawa Bali Services (PJBS);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;LM2500;;Repair Parts;;350000;5000;;;2023-07-24;90;2023-10-22;4;Open;;
Pembangkit Jawa Bali Services (PJBS);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;;;Repair Parts;;150000;150000;;;2023-05-01;90;2023-07-29;4;Open;;
Pembangkit Jawa Bali Services (PJBS);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;YK;I;;;;;Control House Trailer;;600000;600000;;;2023-02-01;120;2023-06-01;3;Cancelled;Pricing;Tender di menangkan IMECO
Pertamina EP Cepu;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;Solar Taurus 60/70 & Mars 130;;Preventive dan correctiveMaintenance;;150000;425000;;;2023-04-17;180;2023-10-14;3;Open;;
Pertamina EP Jawa Region;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;Ora GTG 1C;OPRA;Repair Parts;;210000;0;;;2023-09-01;120;2023-12-30;3;Cancelled;Internal Customer;Akan dikerjakan OeM via local reprentative
Pertamina Geothermal;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;;;;;150000;150000;;;2023-06-01;90;2023-08-29;4;Open;;
Pertamina Hulu Indonesia;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;;Solar Centaur;Repair Parts;;100000;100000;;;2023-10-01;90;2023-12-29;4;Open;;
Pertamina Hulu Indonesia;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;;LM2500;Repair Parts;;200000;200000;;;2023-08-01;90;2023-10-29;3;Open;;
Pertamina Hulu Rokan;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;;GE Frame 5/6;Repair Parts;;100000;100000;;;2023-08-01;90;2023-10-29;4;Open;;
Pertamina International Shipping;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;;;;;100000;100000;;;2023-10-01;120;2024-01-28;4;Open;;
Pertamina Power Indonesia (PPI);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;Turbine;Tbd;O n M;;650000;650000;;;2023-08-14;120;2023-12-12;3;Open;;
Pertamina RU III;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;motor MV dan LV;various;Overhaul Motor;;120000;120000;Proses tender pemasukan tgl 22 feb;;2023-03-30;90;2023-06-28;3;Open;;
Pertamina RU IV;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;HH;I;;;Compressor;165K502A;Compressor coating;;125000;35000;;;2023-04-28;50;2023-06-17;3;Open;;
Pertamina TPPI (Petrochemical);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;Motor 202-P-003B-M, Overhaul Motor 203-P-002B-M;SN;Overhaul;;280000;280000;Proposal Administrasi sudah submit, menunggu sampul 2;;2023-10-01;45;2023-11-15;3;Open;;
Philipine & Vietnam (power generator);Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;NA;NA;Generator and Turbin;;350000;350000;;;2023-10-01;90;2023-12-30;4;Cancelled;BP Fee;Waiting Open Tender - belum ada info lebih lanjut
PLN Batam Bright;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;YK;I;;;;;Repair Parts;;300000;300000;;;2023-03-01;60;2023-04-30;4;Cancelled;Reschedule;Sales Plan di alihkan ke AM
PLN Belawan;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;YK;I;;;;;Repair Parts;;1200000;1200000;;;2023-03-01;60;2023-04-30;3;Cancelled;Reschedule;Sales Plan di alihkan ke AM
PLNSC ( Prima Layanan Niaga Suku Cadang );Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;NA;NA;Waiting Update From  Customer untuk Plan;;100000;100000;;;2023-06-01;90;2023-08-30;3;Cancelled;Internal Customer;Menunggu Update sales Plan dari Customer
Project Scrap;Material Trading;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;;;;;100000;100000;;;2023-07-01;90;2023-09-28;4;Open;;
Barata;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;YK;I;;;;;Partnership;;1000000;1000000;;;2023-03-01;60;2023-04-30;3;Cancelled;Reschedule;Sales Plan dialihkan ke AM
Maura Cipta Arta;Material Trading;TMB Project;2023;NGA;Organic;;RKAP;;;;;AM;I;;;;;;;50000;50000;;;2023-05-01;90;2023-07-29;4;Open;;
MTCN;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;YK;I;;;;Siemens Frame W501D5A;Repair Parts;;200000;200000;;;2023-01-01;60;2023-03-02;4;Cancelled;Reschedule;Sales Plan di Alihkan ke AM
Vale Indonesia;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;;;;;100000;100000;;;2023-10-01;90;2023-12-29;4;Open;;
Wira Jasa Angkasa;Training;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;50000;50000;;;2023-12-01;15;2023-12-15;3;Open;;
PTDI;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Docking;;250000;250000;;;2023-08-01;150;2023-12-28;3;Open;;
Pupuk Indonesia Energi;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;GE Frame 5;;GE Frame 5 - Combustion Inspection;;150000;150000;Canceled due to pricing issue;;2023-08-01;150;2023-12-29;4;Cancelled;Pricing;Canceled due to pricing issue - Pricing Above PJBS
Pupuk Kalimantan Timur;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;Compressor dan LTSA Motor;;100000;100000;Menunggu proses pengadaan PKT;;2023-06-01;90;2023-08-30;3;Open;;
Pupuk Kujang;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;DY;I;;;Hitachi;NA;Overhaul Generator;;233793;233793;Project Dimulai Agustus - Pembelian dan manufacture wedges agar segera diproses agar pada saat schedule TA tidak delay;;2023-08-01;21;2023-08-22;1;Closed - Sales;;
Pupuk Petrokimia Gresik;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;GE Frame 6;;100000;100000;;;2023-06-01;90;2023-08-29;4;Open;;
Pupuk Sriwijaya;Industrial Solution;TMB Project;2023;NGA;Organic;;RKAP;;;;;NA;I;;;;;GE Frame 5;;82500;82500;Tim produksi tidak siap dalam melaksanakan Overhaul sehingga tentatif di mundurkan ke Agustus 2023;;2023-08-01;90;2023-10-30;2;Open;;
Regional Express;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;AS;I;;;;;C-check;;200000;200000;;;2023-07-01;90;2023-09-28;4;Open;;
RImbun Air;Engine & APU;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;80000;80000;;;2023-06-01;15;2023-06-15;3;Open;;
RImbun Air;Engine & APU;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;80000;80000;;;2023-06-01;15;2023-06-15;3;Open;;
RImbun Air;Engine & APU;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;80000;80000;;;2023-06-01;15;2023-06-15;3;Open;;
SAL;Airframe;TMB Project;2023;NGA;Organic;;RKAP;;;;;PN;I;;;;;;;190000;190000;;;2023-06-01;15;2023-06-16;4;Open;;
