name,group_type
Uzbekistan Airways JSC,1
Uzbekistan Airways Technic Llc,1
Valencia Aviation SL Convento Carme,1
Vertex Wings Sdn Bhd,1
Vietjet Aviation Joint St,1
Vietnam Airlines,1
Vietravel Airlines,1
Vietravel Airlines,1
Virgin Australia Airlines Pty Ltd,1
Virgin Blue Airlines,1
Virmavia OÜ,1
Viv International Co. Ltd,1
Wamos Air S.A,1
Wastetrans Llc,1
"Well?Made International Co., Limited",1
West Coast Avionics,1
PT. Whitesky Aviation,1
Wilderness North Air,1
Wingsteck Inc,1
PT. Wirajaya Packindo,1
Wom 913 GMF CA,1
World Aero Limited,1
World Cargo Airline Sdn. Bhd,1
World Star Aviation (UK) Limited,1
"Worldwide Aerospace Investments, Co",1
Wright Aero Components FZE,1
WWTAI AirOpCo 1 Bermuda Ltd,1
XGF Electronic Components Limited,1
Xiamen Airlines,1
Yemen Airways,1
Yes Technik FZC,1
PT. Young Aviation Indonesia,1
Zen Ithalat Ihracat Havacilik,1
Aergo Capital Asia Ltd,1
